source,Na,K,Cl,HCO3,urea
typical daily Western diet,160,60,-,-,-
WHO daily recommendations,< 90,> 90,-,-,-
total body K (50 mmol per kg),-,3000,-,-,-
requirements in Gitelman,>300,-,>300,-,-
1L 0.9% NaCl,154,-,154,-,-
1L plasmalyte-148,140,5,98,50,-
3 tabs slow sodium tds,90,-,90,-,-
2 tabs sando-K tds,-,75,48,24,-
2 tabs slow K bd,-,32,32,-,-
10 ml K citrate bd,-,60,-,24,-
20 ml Kay-Cee-L tds,-,60,60,-,-
1g NaHCO3 tds,36,-,-,36,-
1L 1.26% NaHCO3,150,-,-,150,-
50 ml 8.4 % NaHCO3,-,-,-,50,-
10g protein,-,-,-,-,50